
=== BRASIL CONSOLIDADO - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;3;0.06%
ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL;2;0.04%
Outros (4 itens);4;0.08%
Sigiloso;174;3.65%
TOTAL GERAL;4771;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO PARA;3665;35.87%
SECRETARIA DE ESTADO DE SAUDE PUBLICA;1675;16.39%
MUNICIPIO DE BELEM;682;6.67%
MUNICIPIO DE MARABA;301;2.95%
MUNICIPIO DE ANANINDEUA;217;2.12%
PARA MINISTERIO PUBLICO;207;2.03%
UNIMED BELEM COOPERATIVA DE TRABALHO MEDICO;199;1.95%
MUNICIPIO DE ALTAMIRA;180;1.76%
MUNICIPIO DE ITAITUBA;164;1.61%
MUNICIPIO DE BREVES;153;1.50%
Outros (241 itens);2601;25.46%
Sigiloso;174;1.70%
TOTAL GERAL;10218;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;3666;35.88%
MUNICIPIO;3270;32.00%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1986;19.44%
COOPERATIVA;304;2.98%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;304;2.98%
SOCIEDADE EMPRESARIA LIMITADA;124;1.21%
SOCIEDADE ANONIMA FECHADA;91;0.89%
ND;72;0.70%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;59;0.58%
ASSOCIACAO PRIVADA;58;0.57%
Outros (12 itens);110;1.08%
Sigiloso;174;1.70%
TOTAL GERAL;10218;100.00%




=== REGIONAL NO_TJRO_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
10671;2385;16.51%
12500;2158;14.94%
12503;1301;9.01%
12501;965;6.68%
12416;956;6.62%
12502;949;6.57%
10244;792;5.48%
12489;744;5.15%
12487;653;4.52%
10263;415;2.87%
Outros (137 itens);3124;21.63%
TOTAL GERAL;14442;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DE RONDONIA;1431;37.21%
DEFENSORIA PUBLICA DO ESTADO DE RONDONIA;1097;28.52%
MINISTERIO PUBLICO DO ESTADO DE RONDONIA;244;6.34%
PROCURADORIA GERAL DO ESTADO - PGE;33;0.86%
UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MEDICA LTDA;30;0.78%
MUNICIPIO DE VILHENA;28;0.73%
UNIMED CENTRO RONDONIA COOPERATIVA DE TRABALHO MEDICO;27;0.70%
AMERON ASSISTENCIA MEDICA E ODONTOLOGICA RONDONIA S.A.;20;0.52%
MUNICIPIO DE JI-PARANA;15;0.39%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;14;0.36%
Outros (81 itens);168;4.37%
Sigiloso;739;19.21%
TOTAL GERAL;3846;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;1431;37.21%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1130;29.38%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;251;6.53%
MUNICIPIO;107;2.78%
COOPERATIVA;97;2.52%
SOCIEDADE ANONIMA FECHADA;34;0.88%
SOCIEDADE EMPRESARIA LIMITADA;34;0.88%
ASSOCIACAO PRIVADA;8;0.21%
ND;5;0.13%
FUNDACAO PRIVADA;2;0.05%
Outros (7 itens);8;0.21%
Sigiloso;739;19.21%
TOTAL GERAL;3846;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE RONDONIA;4483;54.55%
MUNICIPIO DE CACOAL;577;7.02%
MUNICIPIO DE JI-PARANA;348;4.23%
MUNICIPIO DE PORTO VELHO;193;2.35%
MUNICIPIO DE ARIQUEMES;156;1.90%
MUNICIPIO DE ESPIGAO D OESTE;125;1.52%
UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MEDICA LTDA;114;1.39%
UNIMED CENTRO RONDONIA COOPERATIVA DE TRABALHO MEDICO;87;1.06%
MUNICIPIO DE VILHENA;79;0.96%
MINISTERIO PUBLICO DO ESTADO DE RONDONIA;69;0.84%
Outros (186 itens);1248;15.19%
Sigiloso;739;8.99%
TOTAL GERAL;8218;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;4485;54.58%
MUNICIPIO;2035;24.76%
COOPERATIVA;362;4.40%
SOCIEDADE ANONIMA FECHADA;138;1.68%
SOCIEDADE EMPRESARIA LIMITADA;133;1.62%
ASSOCIACAO PRIVADA;83;1.01%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;80;0.97%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;79;0.96%
ENTIDADE SINDICAL;17;0.21%
AUTARQUIA MUNICIPAL;10;0.12%
Outros (15 itens);57;0.69%
Sigiloso;739;8.99%
TOTAL GERAL;8218;100.00%




=== REGIONAL NO_TJRR_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12491;172;15.87%
12503;147;13.56%
12486;81;7.47%
12487;80;7.38%
12489;65;6.00%
12485;63;5.81%
12490;56;5.17%
12484;54;4.98%
12511;41;3.78%
9196;37;3.41%
Outros (49 itens);288;26.57%
TOTAL GERAL;1084;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DE RORAIMA;59;20.92%
MUNICIPIO DE BOA VISTA;33;11.70%
GEAP AUTOGESTAO EM SAUDE;20;7.09%
MUNICIPIO DE BOA VISTA - RR;19;6.74%
MINISTERIO PUBLICO DO ESTADO DE RORAIMA;12;4.26%
FEDERACAO DAS UNIMEDS DA AMAZONIA - FEDERACAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO DO ACRE  AMAPA  AMAZONAS  PARA  RONDONIA E RORAIMA;10;3.55%
GEAP - FUNDACAO DE SEGURIDADE SOCIAL;5;1.77%
BRADESCO SAUDE S/A;2;0.71%
SOCIEDADE RORAIMENSE DE OFTALMOLOGIA;2;0.71%
QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.;1;0.35%
Outros (13 itens);13;4.61%
Sigiloso;106;37.59%
TOTAL GERAL;282;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;59;20.92%
MUNICIPIO;33;11.70%
ND;28;9.93%
FUNDACAO PRIVADA;20;7.09%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;12;4.26%
COOPERATIVA;11;3.90%
SOCIEDADE EMPRESARIA LIMITADA;7;2.48%
SOCIEDADE ANONIMA FECHADA;3;1.06%
ASSOCIACAO PRIVADA;2;0.71%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;1;0.35%
Sigiloso;106;37.59%
TOTAL GERAL;282;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE RORAIMA;404;47.75%
FEDERACAO DAS UNIMEDS DA AMAZONIA - FEDERACAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO DO ACRE  AMAPA  AMAZONAS  PARA  RONDONIA E RORAIMA;70;8.27%
MUNICIPIO DE BOA VISTA;66;7.80%
GEAP AUTOGESTAO EM SAUDE;57;6.74%
MUNICIPIO DE BOA VISTA - RR;46;5.44%
GEAP - FUNDACAO DE SEGURIDADE SOCIAL;18;2.13%
BRADESCO SAUDE S/A;12;1.42%
UNIMED DE BOA VISTA-COOPERATIVA DE TRABALHO MEDICO;7;0.83%
MUNICIPIO DE CARACARAI;7;0.83%
SECRETARIA DE ESTADO DA SAUDE;7;0.83%
Outros (27 itens);46;5.44%
Sigiloso;106;12.53%
TOTAL GERAL;846;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;404;47.75%
COOPERATIVA;87;10.28%
ND;81;9.57%
MUNICIPIO;79;9.34%
FUNDACAO PRIVADA;57;6.74%
SOCIEDADE ANONIMA FECHADA;21;2.48%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;5;0.59%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;3;0.35%
SOCIEDADE EMPRESARIA LIMITADA;2;0.24%
ASSOCIACAO PRIVADA;1;0.12%
Sigiloso;106;12.53%
TOTAL GERAL;846;100.00%




=== REGIONAL NO_TJTO_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12500;1619;21.94%
12489;800;10.84%
12503;652;8.83%
12416;572;7.75%
12495;385;5.22%
12494;340;4.61%
12502;323;4.38%
10671;275;3.73%
12487;253;3.43%
9196;211;2.86%
Outros (137 itens);1950;26.42%
TOTAL GERAL;7380;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
TOCANTINS PROCURADORIA GERAL DA JUSTICA;667;24.68%
ESTADO DO TOCANTINS;348;12.87%
UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO;207;7.66%
DEFENSORIA PUBLICA DO ESTADO DO TOCANTINS;201;7.44%
MUNICIPIO DE ARAGUAINA;27;1.00%
BRADESCO SAUDE S/A;21;0.78%
MUNICIPIO DE PALMAS;20;0.74%
UNIMED SEGUROS SAUDE S/A;19;0.70%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;18;0.67%
MUNICIPIO DE PARAISO DO TOCANTINS;13;0.48%
Outros (62 itens);127;4.70%
Sigiloso;1035;38.29%
TOTAL GERAL;2703;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;667;24.68%
ESTADO OU DISTRITO FEDERAL;348;12.87%
COOPERATIVA;257;9.51%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;201;7.44%
MUNICIPIO;94;3.48%
SOCIEDADE ANONIMA FECHADA;57;2.11%
SOCIEDADE EMPRESARIA LIMITADA;17;0.63%
FUNDACAO PRIVADA;12;0.44%
ASSOCIACAO PRIVADA;6;0.22%
SOCIEDADE ANONIMA ABERTA;5;0.18%
Outros (1 itens);4;0.15%
Sigiloso;1035;38.29%
TOTAL GERAL;2703;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO TOCANTINS;2357;45.69%
MUNICIPIO DE PALMAS;322;6.24%
MUNICIPIO DE GUARAI;180;3.49%
MUNICIPIO DE ARAGUAINA;152;2.95%
MUNICIPIO DE PARAISO DO TOCANTINS;81;1.57%
UNIMED PALMAS COOPERATIVA DE TRABALHO MEDICO;62;1.20%
TOCANTINS PROCURADORIA GERAL DA JUSTICA;52;1.01%
MUNICIPIO DE GURUPI;46;0.89%
MUNICIPIO DE PEDRO AFONSO;40;0.78%
BRADESCO SAUDE S/A;35;0.68%
Outros (221 itens);797;15.45%
Sigiloso;1035;20.06%
TOTAL GERAL;5159;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;2357;45.69%
MUNICIPIO;1127;21.85%
COOPERATIVA;210;4.07%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;83;1.61%
SOCIEDADE ANONIMA FECHADA;77;1.49%
SOCIEDADE EMPRESARIA LIMITADA;74;1.43%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;53;1.03%
ASSOCIACAO PRIVADA;44;0.85%
FUNDACAO PRIVADA;26;0.50%
ND;16;0.31%
Outros (12 itens);57;1.10%
Sigiloso;1035;20.06%
TOTAL GERAL;5159;100.00%




=== REGIONAL SE_TJES_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
9196;2022;9.55%
12500;1831;8.65%
10671;1542;7.28%
12508;1499;7.08%
12484;1375;6.49%
12511;1236;5.84%
12501;1142;5.39%
12489;1083;5.11%
12486;1048;4.95%
12491;1029;4.86%
Outros (162 itens);7371;34.80%
TOTAL GERAL;21178;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DO ESPIRITO SANTO;633;16.65%
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO;405;10.66%
SECRETARIA DE ESTADO DA CULTURA;308;8.10%
PROCURADORIA GERAL DO ESTADO DO ESPIRITO SANTO;162;4.26%
TRIBUNAL DE CONTAS DO ESTADO DO ESPIRITO SANTO;119;3.13%
COORDENACAO ESTADUAL DE CIENCIA E TECNOLOGIA - COECT;99;2.60%
SAMP ESPIRITO SANTO ASSISTENCIA MEDICA LTDA;74;1.95%
MUNICIPIO DE LINHARES;72;1.89%
MUNICIPIO DE VITORIA;65;1.71%
UNIMED SUL CAPIXABA - COOPERATIVA DE TRABALHO MEDICO;32;0.84%
Outros (178 itens);858;22.57%
Sigiloso;974;25.62%
TOTAL GERAL;3801;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;633;16.65%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;524;13.79%
COOPERATIVA;489;12.87%
MUNICIPIO;451;11.87%
ND;309;8.13%
SOCIEDADE ANONIMA FECHADA;156;4.10%
ORGAO PUBLICO DO PODER LEGISLATIVO ESTADUAL OU DO DISTRITO FEDERAL;124;3.26%
ASSOCIACAO PRIVADA;66;1.74%
SOCIEDADE EMPRESARIA LIMITADA;53;1.39%
FUNDACAO PRIVADA;7;0.18%
Outros (7 itens);15;0.39%
Sigiloso;974;25.62%
TOTAL GERAL;3801;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
CASA DE CUSTODIA DE VIANA;4654;18.70%
SECRETARIA DE ESTADO DA JUSTICA;2663;10.70%
SECRETARIA DE ESTADO DA SAUDE;2489;10.00%
SECRETARIA DE ESTADO DE GESTAO E RECURSOS HUMANOS;2488;10.00%
SECRETARIA DE ESTADO DA CULTURA;2146;8.62%
ESTADO DO ESPIRITO SANTO;1605;6.45%
MUNICIPIO DE LINHARES;682;2.74%
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO;567;2.28%
MUNICIPIO DE CARIACICA;549;2.21%
MUNICIPIO DE GUARAPARI;393;1.58%
Outros (412 itens);5679;22.82%
Sigiloso;974;3.91%
TOTAL GERAL;24889;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;14739;59.22%
MUNICIPIO;4936;19.83%
ESTADO OU DISTRITO FEDERAL;1606;6.45%
COOPERATIVA;879;3.53%
ND;537;2.16%
SOCIEDADE ANONIMA FECHADA;483;1.94%
SOCIEDADE EMPRESARIA LIMITADA;223;0.90%
ORGAO PUBLICO DO PODER LEGISLATIVO ESTADUAL OU DO DISTRITO FEDERAL;206;0.83%
ASSOCIACAO PRIVADA;153;0.61%
ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL;64;0.26%
Outros (18 itens);89;0.36%
Sigiloso;974;3.91%
TOTAL GERAL;24889;100.00%




=== REGIONAL SE_TJMG_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12484;14663;22.40%
12489;4615;7.05%
12501;4335;6.62%
12486;4215;6.44%
12503;3788;5.79%
12487;2699;4.12%
12495;1967;3.00%
12485;1943;2.97%
12483;1765;2.70%
12511;1677;2.56%
Outros (359 itens);23794;36.35%
TOTAL GERAL;65461;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DE MINAS GERAIS;5993;28.67%
MINISTERIO PUBLICO - MPMG;2805;13.42%
PROCURADORIA GERAL DE JUSTICA DE MINAS GERAIS;755;3.61%
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MEDICO;449;2.15%
INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO MG;235;1.12%
BRADESCO SAUDE S/A;191;0.91%
JUSTICA ESTADUAL;161;0.77%
NOTRE DAME INTERMEDICA MINAS GERAIS SAUDE S.A;150;0.72%
DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS;145;0.69%
UNIMED JUIZ DE FORA COOP DE TRABALHO MEDICO LTDA;138;0.66%
Outros (817 itens);5678;27.16%
Sigiloso;4203;20.11%
TOTAL GERAL;20903;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;5993;28.67%
MUNICIPIO;3384;16.19%
ND;3090;14.78%
COOPERATIVA;1258;6.02%
SOCIEDADE ANONIMA FECHADA;840;4.02%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;756;3.62%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;368;1.76%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;263;1.26%
ASSOCIACAO PRIVADA;221;1.06%
SOCIEDADE EMPRESARIA LIMITADA;208;1.00%
Outros (17 itens);319;1.53%
Sigiloso;4203;20.11%
TOTAL GERAL;20903;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE MINAS GERAIS;18255;36.23%
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MEDICO;1437;2.85%
MUNICIPIO DE BELO HORIZONTE;1078;2.14%
MUNICIPIO DE JUIZ DE FORA;834;1.66%
MUNICIPIO DE MURIAE;536;1.06%
MUNICIPIO DE UBERLANDIA;527;1.05%
MINISTERIO PUBLICO - MPMG;423;0.84%
MUNICIPIO DE CATAGUASES;422;0.84%
MUNICIPIO DE LEOPOLDINA;412;0.82%
MUNICIPIO DE DIVINOPOLIS;406;0.81%
Outros (1735 itens);21858;43.38%
Sigiloso;4203;8.34%
TOTAL GERAL;50391;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;18257;36.23%
MUNICIPIO;17259;34.25%
COOPERATIVA;3653;7.25%
ND;2016;4.00%
SOCIEDADE ANONIMA FECHADA;1699;3.37%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;908;1.80%
SOCIEDADE EMPRESARIA LIMITADA;515;1.02%
FUNDACAO PRIVADA;490;0.97%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;479;0.95%
ASSOCIACAO PRIVADA;474;0.94%
Outros (24 itens);438;0.87%
Sigiloso;4203;8.34%
TOTAL GERAL;50391;100.00%




=== REGIONAL SE_TJRJ_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;22746;22.54%
7779;8664;8.59%
12487;5737;5.69%
10433;4900;4.86%
12503;4141;4.10%
12512;4007;3.97%
12490;3968;3.93%
10671;3916;3.88%
12488;3256;3.23%
12506;2687;2.66%
Outros (349 itens);36887;36.55%
TOTAL GERAL;100909;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
DEFENSORIA PUBLICA DO ESTADO DO RIO DE JANEIRO-DPE;7483;32.86%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;1523;6.69%
ESTADO DO RIO DE JANEIRO;1468;6.45%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;829;3.64%
BRADESCO SAUDE S/A;750;3.29%
UNIMED DO EST R J FEDERACAO EST DAS COOPERATIVAS MED;538;2.36%
UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO LTDA;475;2.09%
NOTRE DAME INTERMEDICA SAUDE S.A.;405;1.78%
VISION MED ASSISTENCIA MEDICA LTDA;393;1.73%
GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA.;392;1.72%
Outros (2112 itens);6120;26.88%
Sigiloso;2396;10.52%
TOTAL GERAL;22772;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;7628;33.50%
SOCIEDADE ANONIMA FECHADA;4093;17.97%
ND;2162;9.49%
COOPERATIVA;1738;7.63%
ESTADO OU DISTRITO FEDERAL;1468;6.45%
SOCIEDADE EMPRESARIA LIMITADA;1459;6.41%
MUNICIPIO;964;4.23%
ASSOCIACAO PRIVADA;230;1.01%
FUNDACAO PRIVADA;127;0.56%
EMPRESARIO (INDIVIDUAL);121;0.53%
Outros (18 itens);386;1.70%
Sigiloso;2396;10.52%
TOTAL GERAL;22772;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO RIO DE JANEIRO;14184;16.71%
UNIMED DO EST R J FEDERACAO EST DAS COOPERATIVAS MED;5444;6.41%
MUNICIPIO DE RIO DE JANEIRO;5321;6.27%
UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO LTDA;3876;4.57%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;3831;4.51%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;2289;2.70%
BRADESCO SAUDE S/A;2014;2.37%
UNIMED-RIO COOP. DE TRABALHO M�DICO;1656;1.95%
UNIMED RIO COOP TRABALHO MI?1/2DICO;1656;1.95%
UNIMED RIO COOPERATIVA DE TRABALHO MI?1/2DICO LTDA;1656;1.95%
Outros (4226 itens);40574;47.79%
Sigiloso;2396;2.82%
TOTAL GERAL;84897;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ND;17506;20.62%
MUNICIPIO;14776;17.40%
ESTADO OU DISTRITO FEDERAL;14188;16.71%
SOCIEDADE ANONIMA FECHADA;13087;15.42%
COOPERATIVA;12416;14.62%
SOCIEDADE EMPRESARIA LIMITADA;6373;7.51%
ASSOCIACAO PRIVADA;1110;1.31%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;596;0.70%
FUNDACAO PRIVADA;481;0.57%
SOCIEDADE ANONIMA ABERTA;476;0.56%
Outros (32 itens);1492;1.76%
Sigiloso;2396;2.82%
TOTAL GERAL;84897;100.00%




=== REGIONAL SE_TJSP_CN_1-4 - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;34659;36.99%
12484;11486;12.26%
12486;8570;9.15%
12487;7403;7.90%
12488;6370;6.80%
11811;2786;2.97%
12503;2239;2.39%
12495;1703;1.82%
12485;1554;1.66%
14760;1545;1.65%
Outros (213 itens);15372;16.41%
TOTAL GERAL;93687;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;3348;7.46%
NOTRE DAME INTERMEDICA SAUDE S.A.;3332;7.43%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;2856;6.37%
ESTADO DE SAO PAULO;1422;3.17%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;1386;3.09%
BRADESCO SAUDE S/A;1267;2.82%
JUIZO EX OFFICIO;1112;2.48%
MINISTERIO PUBLICO DO ESTADO DE SAO PAULO;565;1.26%
QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.;531;1.18%
HAPVIDA ASSISTENCIA MEDICA S.A.;440;0.98%
Outros (2711 itens);10217;22.78%
Sigiloso;18382;40.98%
TOTAL GERAL;44858;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;13668;30.47%
COOPERATIVA;3237;7.22%
SOCIEDADE EMPRESARIA LIMITADA;2376;5.30%
ESTADO OU DISTRITO FEDERAL;1423;3.17%
MUNICIPIO;1403;3.13%
ND;1267;2.82%
ASSOCIACAO PRIVADA;1002;2.23%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;572;1.28%
SOCIEDADE SIMPLES PURA;357;0.80%
EMPRESARIO (INDIVIDUAL);231;0.51%
Outros (28 itens);940;2.10%
Sigiloso;18382;40.98%
TOTAL GERAL;44858;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE SAO PAULO;11677;15.37%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;3461;4.56%
NOTRE DAME INTERMEDICA SAUDE S.A.;3443;4.53%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;3111;4.09%
BRADESCO SAUDE S/A;2752;3.62%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;1630;2.15%
SUL AMERICA SERVICOS DE SAUDE S/A;1314;1.73%
QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.;979;1.29%
SECRETARIA DE ESTADO DA SAUDE;702;0.92%
PORTO SEGURO - SEGURO SAUDE S/A;641;0.84%
Outros (4156 itens);27888;36.70%
Sigiloso;18382;24.19%
TOTAL GERAL;75980;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;18788;24.73%
ESTADO OU DISTRITO FEDERAL;11679;15.37%
MUNICIPIO;10975;14.44%
COOPERATIVA;5457;7.18%
SOCIEDADE EMPRESARIA LIMITADA;3956;5.21%
ASSOCIACAO PRIVADA;2044;2.69%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1253;1.65%
ND;1039;1.37%
SOCIEDADE ANONIMA ABERTA;628;0.83%
FUNDACAO PRIVADA;461;0.61%
Outros (29 itens);1318;1.73%
Sigiloso;18382;24.19%
TOTAL GERAL;75980;100.00%




=== REGIONAL SE_TJSP_CN_2-4 - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;27416;35.65%
12484;10109;13.15%
12486;6170;8.02%
12487;6148;7.99%
12488;4035;5.25%
11811;3482;4.53%
12503;1910;2.48%
12495;1723;2.24%
12494;1352;1.76%
14760;1180;1.53%
Outros (197 itens);13376;17.39%
TOTAL GERAL;76901;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
NOTRE DAME INTERMEDICA SAUDE S.A.;2318;7.05%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;2110;6.42%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;1800;5.48%
ESTADO DE SAO PAULO;1179;3.59%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;1161;3.53%
JUIZO EX OFFICIO;908;2.76%
BRADESCO SAUDE S/A;783;2.38%
MINISTERIO PUBLICO DO ESTADO DE SAO PAULO;367;1.12%
HAPVIDA ASSISTENCIA MEDICA S.A.;349;1.06%
UNIMED CAMPINAS COOPERATIVA DE TRABALHO MEDICO;290;0.88%
Outros (1894 itens);7114;21.64%
Sigiloso;14494;44.09%
TOTAL GERAL;32873;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;8677;26.40%
COOPERATIVA;2584;7.86%
SOCIEDADE EMPRESARIA LIMITADA;1633;4.97%
ESTADO OU DISTRITO FEDERAL;1179;3.59%
MUNICIPIO;1024;3.12%
ND;1007;3.06%
ASSOCIACAO PRIVADA;661;2.01%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;380;1.16%
SOCIEDADE SIMPLES PURA;257;0.78%
FUNDACAO PRIVADA;229;0.70%
